0	-74.98	-74.9901
0.01	-74.9599	-74.9803
0.02	-74.9398	-74.9704
0.03	-74.9197	-74.9606
0.04	-74.8996	-74.9507
0.05	-74.8794	-74.9409
0.06	-74.8592	-74.9311
0.07	-74.839	-74.9213
0.08	-74.8187	-74.9115
0.09	-74.7985	-74.9017
0.1	-74.7782	-74.8919
0.11	-74.7579	-74.8821
0.12	-74.7375	-74.8723
0.13	-74.7172	-74.8625
0.14	-74.6968	-74.8528
0.15	-74.6764	-74.843
0.16	-74.656	-74.8333
0.17	-74.6356	-74.8235
0.18	-74.6152	-74.8138
0.19	-74.5948	-74.804
0.2	-74.5743	-74.7943
0.21	-74.5539	-74.7846
0.22	-74.5334	-74.7749
0.23	-74.5129	-74.7652
0.24	-74.4925	-74.7555
0.25	-74.472	-74.7458
0.26	-74.4515	-74.7362
0.27	-74.431	-74.7265
0.28	-74.4105	-74.7168
0.29	-74.39	-74.7072
0.3	-74.3695	-74.6975
0.31	-74.349	-74.6879
0.32	-74.3285	-74.6783
0.33	-74.308	-74.6687
0.34	-74.2874	-74.6591
0.35	-74.2669	-74.6495
0.36	-74.2464	-74.6399
0.37	-74.2259	-74.6303
0.38	-74.2054	-74.6207
0.39	-74.1849	-74.6111
0.4	-74.1644	-74.6016
0.41	-74.1439	-74.592
0.42	-74.1234	-74.5825
0.43	-74.1029	-74.5729
0.44	-74.0824	-74.5634
0.45	-74.062	-74.5539
0.46	-74.0415	-74.5444
0.47	-74.021	-74.5349
0.48	-74.0005	-74.5254
0.49	-73.9801	-74.5159
0.5	-73.9596	-74.5064
0.51	-73.9392	-74.497
0.52	-73.9188	-74.4875
0.53	-73.8983	-74.4781
0.54	-73.8779	-74.4686
0.55	-73.8575	-74.4592
0.56	-73.8371	-74.4498
0.57	-73.8167	-74.4403
0.58	-73.7963	-74.4309
0.59	-73.776	-74.4215
0.6	-73.7556	-74.4121
0.61	-73.7353	-74.4028
0.62	-73.7149	-74.3934
0.63	-73.6946	-74.384
0.64	-73.6743	-74.3747
0.65	-73.654	-74.3653
0.66	-73.6337	-74.356
0.67	-73.6134	-74.3466
0.68	-73.5931	-74.3373
0.69	-73.5729	-74.328
0.7	-73.5526	-74.3187
0.71	-73.5324	-74.3094
0.72	-73.5122	-74.3001
0.73	-73.492	-74.2908
0.74	-73.4718	-74.2816
0.75	-73.4516	-74.2723
0.76	-73.4314	-74.263
0.77	-73.4113	-74.2538
0.78	-73.3911	-74.2446
0.79	-73.371	-74.2353
0.8	-73.3509	-74.2261
0.81	-73.3308	-74.2169
0.82	-73.3107	-74.2077
0.83	-73.2907	-74.1985
0.84	-73.2706	-74.1893
0.85	-73.2506	-74.1801
0.86	-73.2305	-74.171
0.87	-73.2105	-74.1618
0.88	-73.1905	-74.1527
0.89	-73.1706	-74.1435
0.9	-73.1506	-74.1344
0.91	-73.1307	-74.1253
0.92	-73.1107	-74.1162
0.93	-73.0908	-74.107
0.94	-73.0709	-74.098
0.95	-73.051	-74.0889
0.96	-73.0312	-74.0798
0.97	-73.0113	-74.0707
0.98	-72.9915	-74.0616
0.99	-72.9716	-74.0526
1	-72.9518	-74.0435
1.01	-72.9321	-74.0345
1.02	-72.9123	-74.0255
1.03	-72.8925	-74.0164
1.04	-72.8728	-74.0074
1.05	-72.8531	-73.9984
1.06	-72.8334	-73.9894
1.07	-72.8137	-73.9804
1.08	-72.794	-73.9715
1.09	-72.7743	-73.9625
1.1	-72.7547	-73.9535
1.11	-72.7351	-73.9446
1.12	-72.7155	-73.9356
1.13	-72.6959	-73.9267
1.14	-72.6763	-73.9178
1.15	-72.6568	-73.9089
1.16	-72.6372	-73.8999
1.17	-72.6177	-73.891
1.18	-72.5982	-73.8822
1.19	-72.5787	-73.8733
1.2	-72.5593	-73.8644
1.21	-72.5398	-73.8555
1.22	-72.5204	-73.8467
1.23	-72.501	-73.8378
1.24	-72.4816	-73.829
1.25	-72.4622	-73.8201
1.26	-72.4428	-73.8113
1.27	-72.4235	-73.8025
1.28	-72.4041	-73.7937
1.29	-72.3848	-73.7849
1.3	-72.3655	-73.7761
1.31	-72.3463	-73.7673
1.32	-72.327	-73.7585
1.33	-72.3078	-73.7498
1.34	-72.2885	-73.741
1.35	-72.2693	-73.7323
1.36	-72.2501	-73.7235
1.37	-72.231	-73.7148
1.38	-72.2118	-73.7061
1.39	-72.1927	-73.6974
1.4	-72.1736	-73.6887
1.41	-72.1545	-73.68
1.42	-72.1354	-73.6713
1.43	-72.1163	-73.6626
1.44	-72.0973	-73.6539
1.45	-72.0782	-73.6452
1.46	-72.0592	-73.6366
1.47	-72.0402	-73.6279
1.48	-72.0212	-73.6193
1.49	-72.0023	-73.6107
1.5	-71.9834	-73.602
1.51	-71.9644	-73.5934
1.52	-71.9455	-73.5848
1.53	-71.9266	-73.5762
1.54	-71.9078	-73.5676
1.55	-71.8889	-73.5591
1.56	-71.8701	-73.5505
1.57	-71.8513	-73.5419
1.58	-71.8325	-73.5334
1.59	-71.8137	-73.5248
1.6	-71.7949	-73.5163
1.61	-71.7762	-73.5077
1.62	-71.7574	-73.4992
1.63	-71.7387	-73.4907
1.64	-71.72	-73.4822
1.65	-71.7014	-73.4737
1.66	-71.6827	-73.4652
1.67	-71.6641	-73.4567
1.68	-71.6455	-73.4483
1.69	-71.6268	-73.4398
1.7	-71.6083	-73.4313
1.71	-71.5897	-73.4229
1.72	-71.5711	-73.4144
1.73	-71.5526	-73.406
1.74	-71.5341	-73.3976
1.75	-71.5156	-73.3892
1.76	-71.4971	-73.3808
1.77	-71.4787	-73.3724
1.78	-71.4602	-73.364
1.79	-71.4418	-73.3556
1.8	-71.4234	-73.3472
1.81	-71.405	-73.3388
1.82	-71.3866	-73.3305
1.83	-71.3683	-73.3221
1.84	-71.3499	-73.3138
1.85	-71.3316	-73.3055
1.86	-71.3133	-73.2971
1.87	-71.295	-73.2888
1.88	-71.2767	-73.2805
1.89	-71.2585	-73.2722
1.9	-71.2403	-73.2639
1.91	-71.2221	-73.2556
1.92	-71.2039	-73.2473
1.93	-71.1857	-73.2391
1.94	-71.1675	-73.2308
1.95	-71.1494	-73.2225
1.96	-71.1312	-73.2143
1.97	-71.1131	-73.2061
1.98	-71.095	-73.1978
1.99	-71.077	-73.1896
2	-71.0589	-73.1814
2.01	-71.0409	-73.1732
2.02	-71.0228	-73.165
2.03	-71.0048	-73.1568
2.04	-70.9868	-73.1486
2.05	-70.9689	-73.1404
2.06	-70.9509	-73.1323
2.07	-70.933	-73.1241
2.08	-70.9151	-73.116
2.09	-70.8972	-73.1078
2.1	-70.8793	-73.0997
